brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,527.88,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,523.08,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,496.68,4,56,7,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,531.48,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,587.99,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,479.88,3,170,11,,,
Dell,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,ThinNlight,0,No,No,556.68,2,95,5,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,64,0,Casual,0,No,No,227.88,3,197,25,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,215.88,3,1180,148,,,
HP,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,317.64,3,232,23,,,
HP,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,335.88,3,596,65,,,
Lenovo,Intel,Celeron Dual,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,359.99,3,19,1,,,
Lenovo,Intel,Celeron Dual,4,LPDDR4X,0,512,Windows,64,0,Casual,0,No,No,311.88,3,84,16,,,
Lenovo,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,203.88,3,414,54,,,
Lenovo,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,299.88,2,70,16,,,
Acer,Intel,Core i5,8,DDR5,0,512,Windows,32,4,Casual,0,No,No,611.88,4,10966,1185,,,
Acer,Intel,Core i5,8,LPDDR4,0,512,Windows,32,0,Casual,1,No,No,1439.88,4,1,1,,,
Acer,Intel,Core i5,8,LPDDR4,0,512,DOS,32,0,Casual,0,No,No,1130.28,4,31,6,,,
Asus,Intel,Core i5,8,LPDDR4,0,512,DOS,32,4,Casual,0,No,No,1274,4,1881,241,,,
Dell,Intel,Core i5,8,LPDDR4,0,512,DOS,32,4,Casual,1,No,No,817.08,1,23,4,,,
Dell,Intel,Core i5,8,LPDDR4,0,512,DOS,32,0,ThinNlight,1,No,No,1679.88,3,0,0,,,
HP,Intel,Core i5,8,LPDDR4,0,512,DOS,32,0,ThinNlight,0,No,No,671.88,4,818,109,,,
HP,Intel,Core i5,8,LPDDR4,0,512,DOS,32,4,Casual,0,No,No,1230.61,3,0,0,,,
Lenovo,Intel,Core i5,8,LPDDR4,0,512,DOS,32,2,Casual,0,No,No,563.88,4,4428,569,,,
HP,Intel,Core i5,8,DDR4,128,0,Windows,64,0,ThinNlight,1,No,No,912.14,4,129,16,,,
Lenovo,Intel,Core i5,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,593.88,4,365,35,,,
Acer,Intel,Core i5,8,DDR3,256,0,Windows,64,0,ThinNlight,1,No,Yes,1042.4,4,39,3,,,
Asus,Intel,Core i5,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,587.88,3,0,0,,,
Dell,Intel,Core i5,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,671.88,3,3,0,,,
Acer,Intel,Core i5,8,DDR3,256,0,Windows,64,0,ThinNlight,1,Yes,Yes,983.98,4,14,3,,,
HP,Intel,Core i5,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,1639.08,3,0,0,,,
Acer,Intel,Core i5,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,713.88,3,33,7,,,
Asus,Intel,Core i5,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,597.6,3,0,0,,,
Lenovo,Intel,Core i5,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,743.99,2,4,0,,,
HP,Intel,Core i5,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,659.88,4,116,15,,,
HP,Intel,Core i5,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,647.88,4,206,17,,,
Lenovo,Intel,Core i5,8,DDR4,512,0,Windows,64,0,Casual,2,No,Yes,635.88,4,300,24,,,
HP,Intel,Core i5,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,815.88,4,108,6,,,
Asus,Intel,Core i5,8,DDR4,512,0,Windows,64,4,Gaming,1,No,No,695.88,4,3712,412,,,
Lenovo,Intel,Core i5,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,747.6,4,825,95,,,
Lenovo,Intel,Core i5,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,635.88,3,0,0,,,
Lenovo,Intel,Core i5,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,623.88,4,85,4,,,
Lenovo,Intel,Core i5,16,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,743.88,4,56,7,,,
Asus,Intel,Core i5,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,767.88,4,10,1,,,
Lenovo,Intel,Core i5,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,791.88,4,17,4,,,
